Frame_Index,leg_left_ankle_roll_joint,leg_left_ankle_pitch_joint,leg_left_knee_pitch_joint,leg_left_hip_pitch_joint,leg_left_hip_yaw_joint,leg_left_hip_roll_joint,leg_right_ankle_roll_joint,leg_right_ankle_pitch_joint,leg_right_knee_pitch_joint,leg_right_hip_pitch_joint,leg_right_hip_yaw_joint,leg_right_hip_roll_joint
67,-0.02684,-0.71714,0.97767,-0.16124,0.02077,0.017,0.07156,-0.38635,1.06214,-0.57757,-0.05536,-0.04538
68,-0.04294,-0.72693,0.9593,-0.13335,0.03322,0.0272,0.05543,-0.40868,1.06737,-0.55996,-0.04289,-0.03514
69,-0.05879,-0.73512,0.93798,-0.10423,0.04548,0.03726,0.03953,-0.43007,1.07024,-0.54107,-0.03059,-0.02505
70,-0.07412,-0.7416,0.91387,-0.07414,0.05733,0.047,0.02414,-0.45032,1.07084,-0.52118,-0.01868,-0.0153
71,-0.08861,-0.74633,0.88723,-0.04335,0.06853,0.05621,0.00957,-0.46932,1.06938,-0.5006,-0.00741,-0.00607
72,-0.10197,-0.74933,0.85845,-0.0122,0.07886,0.06472,-0.00388,-0.48699,1.06616,-0.4797,0.003,0.00245
73,-0.11391,-0.75072,0.82806,0.01895,0.08807,0.07233,-0.01589,-0.50331,1.0616,-0.45886,0.0123,0.01006
74,-0.12522,-0.77539,0.85614,0.01487,0.09679,0.07956,-0.02627,-0.51816,1.05978,-0.44231,0.02032,0.01663
75,-0.1377,-0.84704,1.00911,-0.06726,0.10642,0.08755,-0.03506,-0.53176,1.06658,-0.43564,0.02713,0.02221
76,-0.15049,-0.92052,1.19847,-0.18406,0.11627,0.09575,-0.0423,-0.54473,1.07886,-0.43509,0.03272,0.02679
77,-0.16189,-0.96352,1.36601,-0.30947,0.12506,0.10308,-0.04791,-0.55657,1.09244,-0.43695,0.03707,0.03036
78,-0.16938,-0.95392,1.47241,-0.42609,0.13082,0.1079,-0.05183,-0.56599,1.10233,-0.43752,0.0401,0.03284
79,-0.17214,-0.89528,1.51454,-0.5271,0.13294,0.10968,-0.05405,-0.57298,1.10728,-0.43554,0.04182,0.03425
80,-0.17301,-0.82226,1.54282,-0.62847,0.13361,0.11024,-0.05464,-0.58051,1.1138,-0.43454,0.04227,0.03462
81,-0.17237,-0.7396,1.55581,-0.72406,0.13312,0.10983,-0.05385,-0.58891,1.1212,-0.43352,0.04166,0.03412
82,-0.1701,-0.65286,1.55337,-0.80817,0.13138,0.10837,-0.05162,-0.59828,1.12861,-0.4315,0.03993,0.0327
83,-0.16548,-0.56413,1.52576,-0.86891,0.12781,0.10538,-0.0479,-0.6078,1.13308,-0.42636,0.03706,0.03035
84,-0.15572,-0.46157,1.42169,-0.86662,0.1203,0.09911,-0.04266,-0.61365,1.12444,-0.41176,0.03301,0.02702
85,-0.14298,-0.35953,1.26814,-0.81416,0.11049,0.09093,-0.03591,-0.61752,1.10612,-0.38944,0.02778,0.02275
86,-0.12952,-0.2741,1.10822,-0.73877,0.10011,0.08231,-0.02763,-0.6224,1.08455,-0.36285,0.02138,0.0175
87,-0.11674,-0.22922,1.0018,-0.67645,0.09025,0.07414,-0.01779,-0.63143,1.06703,-0.3362,0.01376,0.01126
88,-0.1051,-0.24553,1.0007,-0.65841,0.08127,0.06671,-0.00651,-0.64628,1.05883,-0.31308,0.00503,0.00412
89,-0.09259,-0.27188,1.01601,-0.64676,0.0716,0.05874,0.006,-0.66176,1.05048,-0.28925,-0.00464,-0.0038
90,-0.07909,-0.29815,1.0295,-0.63341,0.06117,0.05015,0.01948,-0.67659,1.0398,-0.26382,-0.01508,-0.01234
91,-0.06487,-0.32404,1.04085,-0.61837,0.05018,0.04112,0.03367,-0.69046,1.02655,-0.23689,-0.02606,-0.02134
92,-0.05019,-0.34926,1.04986,-0.60174,0.03883,0.0318,0.0483,-0.70309,1.01057,-0.20858,-0.03738,-0.03062
93,-0.03534,-0.37358,1.0564,-0.58366,0.02734,0.02239,0.0631,-0.71425,0.99179,-0.17904,-0.04882,-0.04
94,-0.01992,-0.39762,1.06057,-0.56357,0.01541,0.01262,0.07844,-0.7241,0.9694,-0.14732,-0.06067,-0.04975
95,-0.00532,-0.41983,1.06221,-0.54291,0.00412,0.00337,0.09295,-0.73192,0.94475,-0.11547,-0.07189,-0.05898
96,0.00864,-0.44069,1.06163,-0.52149,-0.00669,-0.00548,0.10681,-0.73792,0.91757,-0.08297,-0.0826,-0.06782
97,0.0217,-0.46013,1.05913,-0.49964,-0.01679,-0.01374,0.11976,-0.74212,0.88818,-0.0501,-0.09259,-0.07608
98,0.03357,-0.47815,1.05507,-0.47772,-0.02597,-0.02127,0.13153,-0.74461,0.85703,-0.01719,-0.10167,-0.0836
