Frame_Index,leg_left_ankle_roll_joint,leg_left_ankle_pitch_joint,leg_left_knee_pitch_joint,leg_left_hip_pitch_joint,leg_left_hip_yaw_joint,leg_left_hip_roll_joint,leg_right_ankle_roll_joint,leg_right_ankle_pitch_joint,leg_right_knee_pitch_joint,leg_right_hip_pitch_joint,leg_right_hip_yaw_joint,leg_right_hip_roll_joint
117,0.06815,-0.50449,0.96742,-0.3646,-0.05283,-0.04308,0.06865,-0.53981,1.02665,-0.38852,-0.05301,-0.04365
118,0.07656,-0.50428,0.96837,-0.36605,-0.05933,-0.04843,0.07795,-0.56519,1.08021,-0.41702,-0.0602,-0.04956
119,0.08381,-0.50531,0.97259,-0.36953,-0.06492,-0.05304,0.08662,-0.59905,1.15209,-0.4554,-0.06691,-0.05506
120,0.08997,-0.50709,0.97858,-0.37401,-0.06968,-0.05697,0.09459,-0.635,1.22884,-0.49655,-0.07308,-0.06012
121,0.0951,-0.50912,0.98489,-0.37852,-0.07363,-0.06024,0.10169,-0.66793,1.29958,-0.53471,-0.07857,-0.06463
122,0.0992,-0.51086,0.99007,-0.38216,-0.07679,-0.06286,0.10759,-0.69363,1.35536,-0.56509,-0.08314,-0.06837
123,0.10226,-0.51173,0.99271,-0.38408,-0.07915,-0.06482,0.11189,-0.70834,1.38808,-0.58334,-0.08648,-0.07109
124,0.1043,-0.5114,0.99194,-0.38374,-0.08072,-0.06613,0.1143,-0.70998,1.39322,-0.58697,-0.08836,-0.07261
125,0.10539,-0.51111,0.99111,-0.38326,-0.08155,-0.06684,0.11551,-0.70913,1.39319,-0.58786,-0.08931,-0.07336
126,0.10557,-0.51117,0.99103,-0.38312,-0.08168,-0.06696,0.11572,-0.70831,1.3933,-0.5888,-0.08949,-0.07347
127,0.10483,-0.51159,0.9917,-0.38333,-0.0811,-0.06651,0.11492,-0.70754,1.39355,-0.58978,-0.08889,-0.07294
128,0.10317,-0.51236,0.99309,-0.38387,-0.07981,-0.06546,0.1131,-0.70682,1.39392,-0.59077,-0.08751,-0.07176
129,0.10057,-0.51349,0.99521,-0.38474,-0.07779,-0.06382,0.11025,-0.70618,1.39439,-0.59173,-0.08532,-0.06991
130,0.09701,-0.51496,0.99803,-0.38591,-0.07502,-0.06156,0.10633,-0.70561,1.39493,-0.59262,-0.08232,-0.0674
131,0.09239,-0.51579,0.99891,-0.38575,-0.07144,-0.05863,0.1008,-0.69707,1.37824,-0.58419,-0.07806,-0.06385
132,0.08665,-0.51545,0.99641,-0.38332,-0.067,-0.05499,0.09346,-0.67577,1.33405,-0.56096,-0.0724,-0.05916
133,0.07978,-0.51451,0.9919,-0.37947,-0.06168,-0.05064,0.08472,-0.64546,1.27041,-0.52723,-0.06566,-0.05359
134,0.07175,-0.51351,0.98679,-0.37506,-0.05546,-0.04555,0.07489,-0.61004,1.19562,-0.48748,-0.05807,-0.04733
135,0.06251,-0.51297,0.98247,-0.37097,-0.0483,-0.03969,0.06419,-0.57402,1.11932,-0.44684,-0.0498,-0.04053
136,0.05201,-0.51336,0.98033,-0.36816,-0.04018,-0.03304,0.05273,-0.54301,1.05343,-0.41163,-0.04094,-0.03325
137,0.04042,-0.51502,0.98165,-0.36755,-0.03121,-0.0257,0.04069,-0.52387,1.01248,-0.38953,-0.03162,-0.02562
138,0.02803,-0.51797,0.98682,-0.36957,-0.02161,-0.01786,0.0282,-0.52071,1.00518,-0.38519,-0.02195,-0.01772
139,0.0151,-0.52089,0.99207,-0.37176,-0.0116,-0.00967,0.01524,-0.51969,1.00239,-0.38328,-0.01191,-0.00951
140,0.00195,-0.52346,0.99658,-0.37364,-0.00142,-0.00135,0.00207,-0.51827,0.99874,-0.381,-0.00172,-0.00118
141,-0.01109,-0.52563,1.00023,-0.37516,0.00868,0.00691,-0.01097,-0.51648,0.99432,-0.37839,0.00837,0.00707
142,-0.02371,-0.52737,1.003,-0.37629,0.01845,0.01489,-0.02355,-0.51439,0.98926,-0.37553,0.01812,0.01504
143,-0.03557,-0.5287,1.00492,-0.37706,0.02763,0.02241,-0.03537,-0.51209,0.9838,-0.37253,0.02726,0.02253
144,-0.04637,-0.52974,1.00629,-0.3776,0.03598,0.02925,-0.04612,-0.50974,0.97825,-0.36955,0.03557,0.02934
145,-0.05616,-0.54234,1.03241,-0.39137,0.04355,0.03547,-0.05559,-0.50845,0.9759,-0.36872,0.0429,0.03535
146,-0.06523,-0.56961,1.09,-0.42196,0.05055,0.04123,-0.06386,-0.50868,0.97791,-0.37075,0.0493,0.04059
147,-0.07362,-0.60431,1.16372,-0.46127,0.05703,0.04657,-0.07099,-0.51003,0.98287,-0.3746,0.05481,0.04512
148,-0.08125,-0.64026,1.24051,-0.5024,0.06292,0.05144,-0.07703,-0.51202,0.98931,-0.37926,0.05949,0.04895
