Frame_Index,leg_left_ankle_roll_joint,leg_left_ankle_pitch_joint,leg_left_knee_pitch_joint,leg_left_hip_pitch_joint,leg_left_hip_yaw_joint,leg_left_hip_roll_joint,leg_right_ankle_roll_joint,leg_right_ankle_pitch_joint,leg_right_knee_pitch_joint,leg_right_hip_pitch_joint,leg_right_hip_yaw_joint,leg_right_hip_roll_joint
80,0.07373,-0.50334,0.96139,-0.35991,-0.05704,-0.04675,0.07407,-0.52606,1.00778,-0.38359,-0.0573,-0.04697
81,0.08374,-0.50026,0.95521,-0.3572,-0.06477,-0.05311,0.08429,-0.52942,1.01476,-0.38761,-0.0652,-0.05347
82,0.09268,-0.49853,0.95289,-0.35699,-0.07168,-0.05881,0.09396,-0.54606,1.05004,-0.40666,-0.07267,-0.05962
83,0.10066,-0.49805,0.9539,-0.35886,-0.07784,-0.06389,0.10323,-0.57267,1.10656,-0.43702,-0.07984,-0.06553
84,0.10773,-0.49857,0.95741,-0.36222,-0.0833,-0.0684,0.11213,-0.605,1.17536,-0.47397,-0.08671,-0.0712
85,0.11396,-0.49983,0.96258,-0.36647,-0.08811,-0.07237,0.12063,-0.63944,1.24878,-0.51344,-0.09327,-0.07662
86,0.11938,-0.50153,0.96856,-0.37106,-0.09229,-0.07584,0.12861,-0.67304,1.32058,-0.55213,-0.09943,-0.08172
87,0.12403,-0.50334,0.97451,-0.37548,-0.09587,-0.07881,0.1359,-0.70339,1.38563,-0.5873,-0.10506,-0.08638
88,0.12792,-0.50494,0.97961,-0.37922,-0.09887,-0.08131,0.14226,-0.72843,1.43948,-0.61656,-0.10996,-0.09044
89,0.13107,-0.506,0.98305,-0.3818,-0.1013,-0.08332,0.14738,-0.74626,1.47803,-0.63764,-0.11392,-0.09373
90,0.13348,-0.50617,0.98402,-0.38276,-0.10315,-0.08487,0.15096,-0.75499,1.49715,-0.6483,-0.11668,-0.09601
91,0.13517,-0.50551,0.98266,-0.38217,-0.10445,-0.08595,0.15295,-0.75528,1.4982,-0.64921,-0.11822,-0.09728
92,0.13622,-0.50504,0.98167,-0.38171,-0.10526,-0.08663,0.15415,-0.75496,1.49796,-0.64938,-0.11915,-0.09805
93,0.13666,-0.50486,0.98126,-0.38152,-0.10559,-0.08692,0.15466,-0.75471,1.49788,-0.64958,-0.11955,-0.09836
94,0.13648,-0.50497,0.98145,-0.38159,-0.10545,-0.08681,0.15447,-0.75453,1.49795,-0.64982,-0.11941,-0.09823
95,0.1357,-0.50536,0.98222,-0.38192,-0.10484,-0.08631,0.15358,-0.75443,1.49818,-0.65009,-0.11873,-0.09765
96,0.13429,-0.50603,0.98359,-0.38252,-0.10376,-0.08541,0.15199,-0.7544,1.49856,-0.65038,-0.11751,-0.09662
97,0.13225,-0.507,0.98555,-0.38338,-0.10218,-0.08411,0.14967,-0.75445,1.49909,-0.65069,-0.11573,-0.09513
98,0.12955,-0.50825,0.9881,-0.3845,-0.10009,-0.08239,0.1466,-0.75457,1.49975,-0.651,-0.11338,-0.09315
99,0.12616,-0.50978,0.99121,-0.38587,-0.09748,-0.08023,0.14276,-0.75471,1.50043,-0.65126,-0.11042,-0.09068
