Frame_Index,leg_left_ankle_roll_joint,leg_left_ankle_pitch_joint,leg_left_knee_pitch_joint,leg_left_hip_pitch_joint,leg_left_hip_yaw_joint,leg_left_hip_roll_joint,leg_right_ankle_roll_joint,leg_right_ankle_pitch_joint,leg_right_knee_pitch_joint,leg_right_hip_pitch_joint,leg_right_hip_yaw_joint,leg_right_hip_roll_joint
57,0.0094932,-0.5598912,1.0833504,-0.4253332,-0.0073404,-0.006028,0.0133204,-0.5614176,1.0871908,-0.4276684,-0.010308,-0.0084576
58,0.0179476,-0.5520544,1.0672324,-0.4170492,-0.0138768,-0.0113964,0.02181,-0.5690588,1.1030304,-0.4359048,-0.0168752,-0.0138444
59,0.0262088,-0.5442204,1.0511128,-0.4087696,-0.0202636,-0.0166416,0.0301212,-0.5766272,1.118754,-0.4441048,-0.0233044,-0.0191168
60,0.0341964,-0.5365156,1.035262,-0.4006372,-0.0264388,-0.0217132,0.0381788,-0.5841296,1.1343828,-0.4522812,-0.0295388,-0.0242276
61,0.0417936,-0.5294804,1.0208284,-0.3932612,-0.0323124,-0.026536,0.0458924,-0.5916164,1.1500592,-0.4605252,-0.0355076,-0.0291188
62,0.0489044,-0.5235596,1.0087576,-0.3871416,-0.03781,-0.0310496,0.0531768,-0.5991272,1.1658932,-0.4689068,-0.0411452,-0.0337364
63,0.0554436,-0.5190276,0.9996156,-0.3825692,-0.0428656,-0.0352,0.0599336,-0.6065076,1.1815724,-0.4772648,-0.0463752,-0.038018
64,0.061294,-0.515962,0.9935256,-0.3795848,-0.0473884,-0.0389128,0.066,-0.6132212,1.1959536,-0.4849876,-0.0510716,-0.0418604
65,0.0664268,-0.5142248,0.9901624,-0.378,-0.0513564,-0.04217,0.0713184,-0.6188352,1.2081044,-0.4915756,-0.0551904,-0.0452276
66,0.0707716,-0.5134636,0.9887516,-0.3773912,-0.0547148,-0.044928,0.0757992,-0.6230552,1.2173696,-0.4966668,-0.0586616,-0.0480624
67,0.074264,-0.513056,0.9879624,-0.3770456,-0.0574136,-0.0471452,0.079372,-0.6257468,1.2234128,-0.5000576,-0.0614308,-0.0503208
68,0.0768364,-0.5127076,0.9871724,-0.3766328,-0.0594008,-0.0487796,0.081982,-0.6270204,1.2264416,-0.5018432,-0.0634552,-0.0519692
69,0.0784316,-0.5124832,0.9865444,-0.3762484,-0.0606316,-0.0497948,0.0835912,-0.62728,1.2273108,-0.502472,-0.0647052,-0.0529832
70,0.0790156,-0.5124564,0.9862808,-0.3760188,-0.06108,-0.0501692,0.084182,-0.6272,1.2274488,-0.5026972,-0.0651668,-0.0533516
71,0.0785764,-0.5126536,0.9864552,-0.3759904,-0.0607364,-0.0498956,0.083746,-0.6270316,1.2273864,-0.502798,-0.064834,-0.0530696
72,0.0771256,-0.5130724,0.9870612,-0.37616,-0.05961,-0.0489812,0.082296,-0.6267752,1.227124,-0.5027744,-0.0637164,-0.0521452
